date,lat,lon,sst
01/01/2000,-6.666666667,138.8888889,27.25
02/01/2000,2.222222222,144.4444444,26.96
03/01/2000,-20,100,27.14
04/01/2000,6.666666667,122.2222222,27.3
05/01/2000,-11.11111111,133.3333333,27.7
06/01/2000,11.11111111,100,26.71
07/01/2000,2.222222222,100,27.66
08/01/2000,20,133.3333333,27.11
09/01/2000,-2.222222222,144.4444444,27.41
10/01/2000,6.666666667,144.4444444,27.58
11/01/2000,15.55555556,138.8888889,27.2
12/01/2000,-20,122.2222222,27.54
13/01/2000,15.55555556,122.2222222,27.69
14/01/2000,-15.55555556,138.8888889,27.96
15/01/2000,-2.222222222,100,27.96
16/01/2000,-15.55555556,127.7777778,27.99
17/01/2000,6.666666667,111.1111111,27.16
18/01/2000,-15.55555556,138.8888889,27.16
19/01/2000,20,144.4444444,27.63
20/01/2000,-2.222222222,144.4444444,27.36
21/01/2000,-11.11111111,138.8888889,27.76
22/01/2000,15.55555556,127.7777778,27.57
23/01/2000,11.11111111,150,27.61
24/01/2000,15.55555556,138.8888889,27.94
25/01/2000,-11.11111111,127.7777778,27.7
26/01/2000,20,150,26.99
27/01/2000,-20,138.8888889,28.1
28/01/2000,20,144.4444444,28.02
29/01/2000,-2.222222222,144.4444444,28.25
30/01/2000,11.11111111,133.3333333,28.15
31/01/2000,-6.666666667,100,28.5
01/02/2000,-6.666666667,150,27.68
02/02/2000,-20,138.8888889,27.99
03/02/2000,-11.11111111,138.8888889,27.86
04/02/2000,11.11111111,111.1111111,27.86
05/02/2000,11.11111111,150,28.13
06/02/2000,11.11111111,133.3333333,27.81
07/02/2000,-6.666666667,116.6666667,28
08/02/2000,20,116.6666667,28.63
09/02/2000,11.11111111,150,28.17
10/02/2000,-15.55555556,133.3333333,28.66
11/02/2000,-15.55555556,127.7777778,27.87
12/02/2000,-15.55555556,150,28.58
13/02/2000,11.11111111,122.2222222,28.77
14/02/2000,6.666666667,122.2222222,28.14
15/02/2000,-6.666666667,133.3333333,29
16/02/2000,-15.55555556,127.7777778,28.39
17/02/2000,-11.11111111,100,28.19
18/02/2000,6.666666667,127.7777778,28.57
19/02/2000,-20,144.4444444,28.98
20/02/2000,-2.222222222,133.3333333,28.54
21/02/2000,-2.222222222,144.4444444,29.12
22/02/2000,-15.55555556,138.8888889,29.16
23/02/2000,-6.666666667,116.6666667,28.98
24/02/2000,20,111.1111111,28.32
25/02/2000,20,122.2222222,28.55
26/02/2000,-11.11111111,133.3333333,28.83
27/02/2000,-2.222222222,150,28.88
28/02/2000,20,144.4444444,28.64
29/02/2000,-6.666666667,105.5555556,28.37
01/03/2000,15.55555556,144.4444444,28.81
02/03/2000,6.666666667,116.6666667,28.78
03/03/2000,20,116.6666667,28.36
04/03/2000,-20,111.1111111,28.91
05/03/2000,6.666666667,138.8888889,28.52
06/03/2000,2.222222222,133.3333333,29.4
07/03/2000,6.666666667,100,28.89
08/03/2000,20,150,28.81
09/03/2000,20,127.7777778,28.7
